Date,Ticker,isPartial,Noise
2020-01-05,CSCO,False,38
2020-01-12,CSCO,False,43
2020-01-19,CSCO,False,33
2020-01-26,CSCO,False,33
2020-02-02,CSCO,False,31
2020-02-09,CSCO,False,78
2020-02-16,CSCO,False,37
2020-02-23,CSCO,False,47
2020-03-01,CSCO,False,49
2020-03-08,CSCO,False,50
2020-03-15,CSCO,False,57
2020-03-22,CSCO,False,62
2020-03-29,CSCO,False,51
2020-04-05,CSCO,False,41
2020-04-12,CSCO,False,49
2020-04-19,CSCO,False,41
2020-04-26,CSCO,False,33
2020-05-03,CSCO,False,38
2020-05-10,CSCO,False,92
2020-05-17,CSCO,False,41
2020-05-24,CSCO,False,33
2020-05-31,CSCO,False,47
2020-06-07,CSCO,False,41
2020-06-14,CSCO,False,35
2020-06-21,CSCO,False,28
2020-06-28,CSCO,False,29
2020-07-05,CSCO,False,44
2020-07-12,CSCO,False,36
2020-07-19,CSCO,False,30
2020-07-26,CSCO,False,36
2020-08-02,CSCO,False,36
2020-08-09,CSCO,False,100
2020-08-16,CSCO,False,51
2020-08-23,CSCO,False,32
2020-08-30,CSCO,False,37
2020-09-06,CSCO,False,27
2020-09-13,CSCO,False,20
2020-09-20,CSCO,False,34
2020-09-27,CSCO,False,29
2020-10-04,CSCO,False,32
2020-10-11,CSCO,False,24
2020-10-18,CSCO,False,19
2020-10-25,CSCO,False,37
2020-11-01,CSCO,False,23
2020-11-08,CSCO,False,59
2020-11-15,CSCO,False,36
2020-11-22,CSCO,False,36
2020-11-29,CSCO,False,27
2020-12-06,CSCO,True,22
