,Ticker,isocal_yr,isocal_wk,Noise,Tweet Count,Adj Close,Volume,Date,Date TNoise,Date Stock
0,MSFT,2020,44,34,829,201.9413146972656,193393800,2020-11-01,2020-11-01,2020-10-30
1,MSFT,2020,45,38,7651,223.1358184814453,161978000,2020-11-08,2020-11-08,2020-11-06
2,MSFT,2020,46,35,7149,215.94464111328125,158095900,2020-11-15,2020-11-15,2020-11-13
3,MSFT,2020,47,27,6904,210.38999938964844,125102000,2020-11-22,2020-11-22,2020-11-20
4,MSFT,2020,48,29,6315,215.22999572753903,95188300,2020-11-29,2020-11-29,2020-11-27
5,MSFT,2020,49,28,10072,214.3600006103516,137507500,2020-12-06,2020-12-06,2020-12-04
6,TSLA,2020,44,23,1646,388.0400085449219,141543700,2020-11-01,2020-11-01,2020-10-30
7,TSLA,2020,45,25,16895,429.95001220703125,145636400,2020-11-08,2020-11-08,2020-11-06
8,TSLA,2020,46,52,18343,408.5,122101100,2020-11-15,2020-11-15,2020-11-13
9,TSLA,2020,47,40,41619,489.6099853515625,261353500,2020-11-22,2020-11-22,2020-11-20
10,TSLA,2020,48,46,34895,585.760009765625,190400100,2020-11-29,2020-11-29,2020-11-27
11,TSLA,2020,49,51,38252,599.0399780273438,223114900,2020-12-06,2020-12-06,2020-12-04
12,AMZN,2020,44,47,1270,3036.14990234375,30763400,2020-11-01,2020-11-01,2020-10-30
13,AMZN,2020,45,56,10231,3311.3701171875,29430900,2020-11-08,2020-11-08,2020-11-06
14,AMZN,2020,46,47,10266,3128.81005859375,26266500,2020-11-15,2020-11-15,2020-11-13
15,AMZN,2020,47,39,11247,3099.39990234375,16554900,2020-11-22,2020-11-22,2020-11-20
16,AMZN,2020,48,43,10088,3195.340087890625,14494300,2020-11-29,2020-11-29,2020-11-27
17,AMZN,2020,49,37,13387,3162.580078125,17543200,2020-12-06,2020-12-06,2020-12-04
18,AAPL,2020,44,37,1195,108.67251586914062,684467100,2020-11-01,2020-11-01,2020-10-30
19,AAPL,2020,45,40,11809,118.69000244140624,609571800,2020-11-08,2020-11-08,2020-11-06
20,AAPL,2020,46,32,11826,119.26000213623048,589577900,2020-11-15,2020-11-15,2020-11-13
21,AAPL,2020,47,27,10417,117.33999633789062,389280500,2020-11-22,2020-11-22,2020-11-20
22,AAPL,2020,48,33,10070,116.58999633789062,365024000,2020-11-29,2020-11-29,2020-11-27
23,AAPL,2020,49,31,15084,122.25,543809200,2020-12-06,2020-12-06,2020-12-04
24,JPM,2020,44,33,631,98.04000091552734,68595200,2020-11-01,2020-11-01,2020-10-30
25,JPM,2020,45,44,5114,102.95999908447266,81770900,2020-11-08,2020-11-08,2020-11-06
26,JPM,2020,46,41,5334,114.08000183105469,116686000,2020-11-15,2020-11-15,2020-11-13
27,JPM,2020,47,25,5369,114.56999969482422,69904400,2020-11-22,2020-11-22,2020-11-20
28,JPM,2020,48,29,3993,121.22000122070312,51030000,2020-11-29,2020-11-29,2020-11-27
29,JPM,2020,49,25,8570,122.33999633789062,64389400,2020-12-06,2020-12-06,2020-12-04
30,CRM,2020,44,41,1508,232.2700042724609,24905300,2020-11-01,2020-11-01,2020-10-30
31,CRM,2020,45,51,13348,260.14999389648443,27370500,2020-11-08,2020-11-08,2020-11-06
32,CRM,2020,46,51,14412,249.50999450683597,30571100,2020-11-15,2020-11-15,2020-11-13
33,CRM,2020,47,50,15942,258.04000854492193,32054500,2020-11-22,2020-11-22,2020-11-20
34,CRM,2020,48,86,16012,247.6300048828125,44970800,2020-11-29,2020-11-29,2020-11-27
35,CRM,2020,49,59,28575,225.8600006103516,132441100,2020-12-06,2020-12-06,2020-12-04
36,ZM,2020,44,26,6962,460.9100036621094,44023900,2020-11-01,2020-11-01,2020-10-30
37,ZM,2020,45,56,40148,500.1099853515625,33243300,2020-11-08,2020-11-08,2020-11-06
38,ZM,2020,46,48,44862,403.5799865722656,82118700,2020-11-15,2020-11-15,2020-11-13
39,ZM,2020,47,33,39600,439.6000061035156,50565600,2020-11-22,2020-11-22,2020-11-20
40,ZM,2020,48,60,34652,471.6099853515625,30674500,2020-11-29,2020-11-29,2020-11-27
41,ZM,2020,49,30,128212,410.010009765625,59279400,2020-12-06,2020-12-06,2020-12-04
42,PTON,2020,44,32,262,110.20999908447266,52183300,2020-11-01,2020-11-01,2020-10-30
43,PTON,2020,45,49,3354,125.45999908447266,66776000,2020-11-08,2020-11-08,2020-11-06
44,PTON,2020,46,34,5427,100.79000091552734,142988100,2020-11-15,2020-11-15,2020-11-13
45,PTON,2020,47,21,3146,110.9000015258789,64666100,2020-11-22,2020-11-22,2020-11-20
46,PTON,2020,48,22,2089,108.9800033569336,37576100,2020-11-29,2020-11-29,2020-11-27
47,PTON,2020,49,18,2889,114.4499969482422,49591700,2020-12-06,2020-12-06,2020-12-04
