Date,Ticker,isPartial,Noise
2020-01-05,MCD,False,69
2020-01-12,MCD,False,71
2020-01-19,MCD,False,56
2020-01-26,MCD,False,71
2020-02-02,MCD,False,58
2020-02-09,MCD,False,50
2020-02-16,MCD,False,49
2020-02-23,MCD,False,75
2020-03-01,MCD,False,60
2020-03-08,MCD,False,73
2020-03-15,MCD,False,100
2020-03-22,MCD,False,100
2020-03-29,MCD,False,74
2020-04-05,MCD,False,75
2020-04-12,MCD,False,66
2020-04-19,MCD,False,64
2020-04-26,MCD,False,85
2020-05-03,MCD,False,79
2020-05-10,MCD,False,64
2020-05-17,MCD,False,62
2020-05-24,MCD,False,60
2020-05-31,MCD,False,69
2020-06-07,MCD,False,60
2020-06-14,MCD,False,67
2020-06-21,MCD,False,66
2020-06-28,MCD,False,56
2020-07-05,MCD,False,56
2020-07-12,MCD,False,67
2020-07-19,MCD,False,73
2020-07-26,MCD,False,80
2020-08-02,MCD,False,61
2020-08-09,MCD,False,66
2020-08-16,MCD,False,61
2020-08-23,MCD,False,55
2020-08-30,MCD,False,60
2020-09-06,MCD,False,62
2020-09-13,MCD,False,55
2020-09-20,MCD,False,50
2020-09-27,MCD,False,60
2020-10-04,MCD,False,69
2020-10-11,MCD,False,62
2020-10-18,MCD,False,64
2020-10-25,MCD,False,50
2020-11-01,MCD,False,55
2020-11-08,MCD,False,74
2020-11-15,MCD,False,66
2020-11-22,MCD,False,55
2020-11-29,MCD,False,60
2020-12-06,MCD,True,59
