Date,Ticker,isPartial,Noise
2020-01-05,PTON,False,9
2020-01-12,PTON,False,8
2020-01-19,PTON,False,9
2020-01-26,PTON,False,9
2020-02-02,PTON,False,20
2020-02-09,PTON,False,11
2020-02-16,PTON,False,7
2020-02-23,PTON,False,12
2020-03-01,PTON,False,6
2020-03-08,PTON,False,11
2020-03-15,PTON,False,17
2020-03-22,PTON,False,11
2020-03-29,PTON,False,10
2020-04-05,PTON,False,8
2020-04-12,PTON,False,15
2020-04-19,PTON,False,11
2020-04-26,PTON,False,9
2020-05-03,PTON,False,48
2020-05-10,PTON,False,23
2020-05-17,PTON,False,23
2020-05-24,PTON,False,14
2020-05-31,PTON,False,18
2020-06-07,PTON,False,13
2020-06-14,PTON,False,15
2020-06-21,PTON,False,23
2020-06-28,PTON,False,14
2020-07-05,PTON,False,17
2020-07-12,PTON,False,20
2020-07-19,PTON,False,20
2020-07-26,PTON,False,15
2020-08-02,PTON,False,27
2020-08-09,PTON,False,15
2020-08-16,PTON,False,15
2020-08-23,PTON,False,20
2020-08-30,PTON,False,45
2020-09-06,PTON,False,100
2020-09-13,PTON,False,43
2020-09-20,PTON,False,36
2020-09-27,PTON,False,28
2020-10-04,PTON,False,36
2020-10-11,PTON,False,47
2020-10-18,PTON,False,40
2020-10-25,PTON,False,30
2020-11-01,PTON,False,32
2020-11-08,PTON,False,49
2020-11-15,PTON,False,34
2020-11-22,PTON,False,21
2020-11-29,PTON,False,22
2020-12-06,PTON,True,18
