Date,Ticker,isPartial,Noise
2020-01-05,WORK,False,86
2020-01-12,WORK,False,88
2020-01-19,WORK,False,86
2020-01-26,WORK,False,87
2020-02-02,WORK,False,87
2020-02-09,WORK,False,86
2020-02-16,WORK,False,89
2020-02-23,WORK,False,85
2020-03-01,WORK,False,86
2020-03-08,WORK,False,85
2020-03-15,WORK,False,94
2020-03-22,WORK,False,100
2020-03-29,WORK,False,97
2020-04-05,WORK,False,93
2020-04-12,WORK,False,91
2020-04-19,WORK,False,93
2020-04-26,WORK,False,93
2020-05-03,WORK,False,92
2020-05-10,WORK,False,91
2020-05-17,WORK,False,89
2020-05-24,WORK,False,84
2020-05-31,WORK,False,83
2020-06-07,WORK,False,87
2020-06-14,WORK,False,86
2020-06-21,WORK,False,86
2020-06-28,WORK,False,83
2020-07-05,WORK,False,84
2020-07-12,WORK,False,86
2020-07-19,WORK,False,86
2020-07-26,WORK,False,87
2020-08-02,WORK,False,85
2020-08-09,WORK,False,88
2020-08-16,WORK,False,85
2020-08-23,WORK,False,87
2020-08-30,WORK,False,87
2020-09-06,WORK,False,86
2020-09-13,WORK,False,88
2020-09-20,WORK,False,90
2020-09-27,WORK,False,85
2020-10-04,WORK,False,87
2020-10-11,WORK,False,85
2020-10-18,WORK,False,86
2020-10-25,WORK,False,86
2020-11-01,WORK,False,73
2020-11-08,WORK,False,88
2020-11-15,WORK,False,89
2020-11-22,WORK,False,78
2020-11-29,WORK,False,89
2020-12-06,WORK,True,87
